Median age of Males,Females,sa2code,sa2name,Males,Median age of Females,Median age of Persons,Persons,Sex Ratio,People aged 65 years and over,People aged 15–64 years,People aged 0–14 years

38.8,3589,1GSYD02011028,Avoca Beach - Copacabana,3615,40.6,39.9,7204,100.7,11.9,66.8,21.4

45.0,5343,1GSYD02011029,Box Head - MacMasters Beach,5319,46.6,45.8,10662,99.6,20.5,61.3,18.2

43.1,2204,1GSYD02011030,Calga - Kulnura,2344,40.8,41.9,4548,106.4,14.5,66.1,19.4

44.5,7511,1GSYD02011031,Erina - Green Point,6567,49.1,47.2,14078,87.4,26.3,57.0,16.6

37.7,9750,1GSYD02011032,Gosford - Springfield,8927,40.4,39.1,18677,91.6,16.9,67.1,16.0

32.2,3336,1GSYD02011033,Kariong,3313,33.9,33.2,6649,99.3,8.1,67.3,24.6

40.6,3955,1GSYD02011034,Kincumber - Picketts Valley,3421,47.8,44.5,7376,86.5,25.4,56.8,17.8

35.7,3421,1GSYD02011035,Narara,3276,38.4,37.2,6697,95.8,10.9,68.7,20.4

35.1,4151,1GSYD02011036,Niagara Park - Lisarow,4133,36.9,36.2,8284,99.6,9.4,67.8,22.8

41.8,3308,1GSYD02011037,Point Clare - Koolewong,3187,45.3,43.7,6495,96.3,22.3,58.9,18.8

41.2,3542,1GSYD02011038,Saratoga - Davistown,3315,42.8,42.1,6857,93.6,19.2,61.8,19.0

39.2,6552,1GSYD02011039,Terrigal - North Avoca,6430,42.0,40.6,12982,98.1,15.9,66.8,17.3

42.5,12128,1GSYD02011040,Umina - Booker Bay - Patonga,11134,45.9,44.2,23262,91.8,23.1,59.3,17.6

37.5,4735,1GSYD02011041,Wamberal - Forresters Beach,4654,39.4,38.5,9389,98.3,13.5,65.8,20.8

44.5,7097,1GSYD02011042,Woy Woy - Blackwall,6583,48.3,46.5,13680,92.8,24.9,59.6,15.5

37.9,6048,1GSYD02011043,Wyoming,5493,43.4,40.8,11541,90.8,20.6,60.5,18.9

38.4,11657,1GSYD02021044,Bateau Bay - Killarney Vale,10386,43.0,40.8,22043,89.1,20.3,60.8,18.8

31.7,5645,1GSYD02021045,Blue Haven - San Remo,5458,33.4,32.5,11103,96.7,11.2,63.1,25.7

42.7,4668,1GSYD02021046,Budgewoi - Buff Point - Halekulani,4544,44.9,43.7,9212,97.3,22.8,59.7,17.4

